img_id,Entropy,Complexity,Label
1,0.9865574335004614,0.01751901872831025,Pulmonary Consolidation
2,0.9836962640067232,0.021350701686117305,Pulmonary Consolidation
3,0.9837776856072152,0.021337323239959426,Pulmonary Consolidation
4,0.9852611205380278,0.0194136753352347,Pulmonary Consolidation
5,0.9845969778933601,0.020167855974752423,Pulmonary Consolidation
6,0.9838057368613042,0.02153505824811545,Pulmonary Consolidation
7,0.981281604521676,0.024642665327059877,Pulmonary Consolidation
8,0.9804959439794957,0.02528318153499568,Pulmonary Consolidation
9,0.9783881535889627,0.027638058880784112,Pulmonary Consolidation
10,0.980177326241078,0.025816394683999655,Pulmonary Consolidation
11,0.9728856922068737,0.03454471820592807,Pulmonary Consolidation
12,0.9858610771958405,0.01829409108453011,Pulmonary Consolidation
13,0.9851616011791532,0.01924105188070344,Pulmonary Consolidation
14,0.9854003699562608,0.019014929773239,Pulmonary Consolidation
15,0.9832592659578355,0.021284330855743994,Pulmonary Consolidation
16,0.9844714302184702,0.02030428048267951,Pulmonary Consolidation
17,0.9875226171153014,0.01647406740995788,Pulmonary Consolidation
18,0.9920358118406429,0.010319082202661247,Pulmonary Consolidation
19,0.9887729020500553,0.014596062382378806,Pulmonary Consolidation
20,0.9842659900570273,0.020162652709915987,Pulmonary Consolidation
21,0.9886825800230546,0.01452319162510017,Pulmonary Consolidation
22,0.985999741021436,0.017911373675360324,Pulmonary Consolidation
23,0.9867827612151405,0.016992182687560517,Pulmonary Consolidation
24,0.980869851690914,0.024557273003594823,Pulmonary Consolidation
25,0.9830654708226412,0.022058043447248477,Pulmonary Consolidation
26,0.9901699125890938,0.01271655504647524,Pulmonary Consolidation
27,0.9862723299526721,0.017527140592347456,Pulmonary Consolidation
28,0.9879964558044773,0.015621640951932985,Pulmonary Consolidation
29,0.9822185981234747,0.02288429561316011,Pulmonary Consolidation
30,0.9886862514126186,0.014551819234384696,Pulmonary Consolidation
31,0.9855266304378436,0.018580557909297912,Pulmonary Consolidation
32,0.9837884786600716,0.02073954039616649,Pulmonary Consolidation
33,0.9863915923934564,0.017499189675441985,Pulmonary Consolidation
34,0.9870831007984688,0.016917112843763012,Pulmonary Consolidation
35,0.9835152632851257,0.02139521327401637,Pulmonary Consolidation
36,0.987130127551204,0.01669454170687426,Pulmonary Consolidation
37,0.9898553002700629,0.013070255019988838,Pulmonary Consolidation
38,0.9895008126421164,0.013536008328601726,Pulmonary Consolidation
39,0.987003181749844,0.016608296464907957,Pulmonary Consolidation
40,0.9869633696089342,0.01699000863488288,Pulmonary Consolidation
41,0.9885036255667871,0.014948387190315757,Pulmonary Consolidation
42,0.984928093157442,0.01899537235568863,Pulmonary Consolidation
43,0.9843180460088045,0.020181953012155817,Pulmonary Consolidation
44,0.9848510359251725,0.019501056759006704,Pulmonary Consolidation
45,0.9824599213888525,0.022497143070240155,Pulmonary Consolidation
46,0.9844801927030823,0.020045336369933397,Pulmonary Consolidation
47,0.9840355692366753,0.02040324581328308,Pulmonary Consolidation
48,0.9858063656319036,0.018214832555396198,Pulmonary Consolidation
49,0.9849173878851786,0.019749294974848054,Pulmonary Consolidation
50,0.9806882676032793,0.02527205056190943,Pulmonary Consolidation
51,0.9862433691769105,0.017906405484657335,Pulmonary Consolidation
52,0.9879375774087334,0.015720540060357467,Pulmonary Consolidation
53,0.9884954080271491,0.014991565513585195,Pulmonary Consolidation
54,0.9875555311042064,0.016543316012209975,Pulmonary Consolidation
55,0.9855663891827111,0.01897230237127376,Pulmonary Consolidation
56,0.9887796358904923,0.014460123115172793,Pulmonary Consolidation
57,0.9227890319035844,0.09929419034721731,Pulmonary Consolidation
58,0.927015400116871,0.0942389295285312,Pulmonary Consolidation
59,0.9197943397445238,0.10183565536656758,Pulmonary Consolidation
60,0.9215502861785956,0.10170274187118984,Pulmonary Consolidation
61,0.9208424512424075,0.10299167082429274,Pulmonary Consolidation
62,0.9206997057217117,0.10355284708200103,Pulmonary Consolidation
