0,1,2,Label
1,0.20313448523156846,0.18988157456428434,Pulmonary Consolidation
2,0.1889784422050131,0.21356520594546013,Pulmonary Consolidation
3,0.20917839876548444,0.19536368823198944,Pulmonary Consolidation
4,0.18593492795433114,0.19865209604741352,Pulmonary Consolidation
5,0.189263071110304,0.21521606657322478,Pulmonary Consolidation
6,0.19497206994764676,0.21788039007668847,Pulmonary Consolidation
7,0.21125177966445902,0.22523724126405037,Pulmonary Consolidation
8,0.22967209029429253,0.21122893183767166,Pulmonary Consolidation
9,0.2305701500018726,0.19920808935763126,Pulmonary Consolidation
10,0.2254789512513094,0.21120702690311782,Pulmonary Consolidation
11,0.24129418932872432,0.22326617401577237,Pulmonary Consolidation
12,0.1966304928096701,0.16283810066601945,Pulmonary Consolidation
13,0.17875746000326082,0.19868529371155602,Pulmonary Consolidation
14,0.17844276204395976,0.20559147404141045,Pulmonary Consolidation
15,0.1515153960735452,0.2000427057365749,Pulmonary Consolidation
16,0.18225196914906922,0.24977088635594552,Pulmonary Consolidation
17,0.195471713989189,0.19137566940219497,Pulmonary Consolidation
18,0.12825101330880634,0.17843274748581822,Pulmonary Consolidation
19,0.13392637616441588,0.20914573644663242,Pulmonary Consolidation
20,0.1588147436658121,0.21751880384001943,Pulmonary Consolidation
21,0.11751656592390075,0.18705263882171966,Pulmonary Consolidation
22,0.11416748274796801,0.21372130388437105,Pulmonary Consolidation
23,0.15762240091945573,0.18549704579081547,Pulmonary Consolidation
24,0.1860862455998566,0.18872862927204515,Pulmonary Consolidation
25,0.2019945810824974,0.18530336654026391,Pulmonary Consolidation
26,0.12480842145828763,0.14979731306939414,Pulmonary Consolidation
27,0.14432894773125632,0.17261738227895412,Pulmonary Consolidation
28,0.1296451207101566,0.19030717432330221,Pulmonary Consolidation
29,0.17891200175155192,0.18775892233695923,Pulmonary Consolidation
30,0.15546145569519898,0.1560451495250405,Pulmonary Consolidation
31,0.1387807287702788,0.1910508270216836,Pulmonary Consolidation
32,0.14957230771263036,0.19290577649370036,Pulmonary Consolidation
33,0.11632348465860043,0.1944076057220192,Pulmonary Consolidation
34,0.15773298541215763,0.19253255482306658,Pulmonary Consolidation
35,0.18764126010834942,0.1809845566070054,Pulmonary Consolidation
36,0.13677758146152663,0.2128798037891509,Pulmonary Consolidation
37,0.19869402464254654,0.1955402077407185,Pulmonary Consolidation
38,0.19321030750407892,0.193511018027349,Pulmonary Consolidation
39,0.18411400287554552,0.20157826150130337,Pulmonary Consolidation
40,0.1819451250366086,0.2038512494650645,Pulmonary Consolidation
41,0.14522005150352008,0.1953062317013753,Pulmonary Consolidation
42,0.1792960607160265,0.20381786370546928,Pulmonary Consolidation
43,0.16249245027990517,0.21577535999873756,Pulmonary Consolidation
44,0.19666572615243688,0.18491849437609695,Pulmonary Consolidation
45,0.18239204950007942,0.19698548016088135,Pulmonary Consolidation
46,0.16732448910307046,0.20466865470173956,Pulmonary Consolidation
47,0.1610611254918914,0.19859352289166515,Pulmonary Consolidation
48,0.1450017303711435,0.19569072720503847,Pulmonary Consolidation
49,0.16324129449011565,0.2090710368912785,Pulmonary Consolidation
50,0.17663569261661022,0.22093700225258192,Pulmonary Consolidation
51,0.14527590181238687,0.20870126925411947,Pulmonary Consolidation
52,0.11755071944894435,0.2002427493549384,Pulmonary Consolidation
53,0.14486886217541045,0.19643485771108254,Pulmonary Consolidation
54,0.16484361296677535,0.22235053056934662,Pulmonary Consolidation
55,0.1837423106508877,0.21458764910027894,Pulmonary Consolidation
56,0.13418495117320534,0.18516822617594772,Pulmonary Consolidation
57,0.3896088363466392,0.22670811076032277,Pulmonary Consolidation
58,0.398674622426293,0.21367000367103478,Pulmonary Consolidation
59,0.4081730588010262,0.20458599263696192,Pulmonary Consolidation
60,0.4090251551846131,0.21141956763099815,Pulmonary Consolidation
61,0.40654373604207933,0.21313257217253226,Pulmonary Consolidation
62,0.40827283546767773,0.21162188347886424,Pulmonary Consolidation
63,0.39626525765840376,0.22024632665797006,Pulmonary Consolidation
64,0.39797084737370353,0.22066071197759332,Pulmonary Consolidation
65,0.4149965527982676,0.2044065592435926,Pulmonary Consolidation
66,0.4113784801699287,0.20298128835761475,Pulmonary Consolidation
67,0.4026988328818258,0.2182838905099958,Pulmonary Consolidation
68,0.41606675048553526,0.2115034297395006,Pulmonary Consolidation
69,0.4178975339750101,0.2117402480018736,Pulmonary Consolidation
70,0.4199133828136726,0.20857137056250122,Pulmonary Consolidation
71,0.4199599202265351,0.20675820470837095,Pulmonary Consolidation
72,0.4094823995806182,0.20784902652570053,Pulmonary Consolidation
73,0.4171214239437086,0.21254765040224569,Pulmonary Consolidation
74,0.4068335571336688,0.21473339199680286,Pulmonary Consolidation
75,0.4089453967606201,0.2057209819947065,Pulmonary Consolidation
76,0.41044551275417146,0.1931805620318111,Pulmonary Consolidation
77,0.4088366424316952,0.21187853655607744,Pulmonary Consolidation
78,0.417497008538628,0.1985302779734133,Pulmonary Consolidation
79,0.4143506100236925,0.20555767139204892,Pulmonary Consolidation
80,0.4128627261555626,0.2144487386183913,Pulmonary Consolidation
81,0.4191207134046286,0.18448866728526545,Pulmonary Consolidation
82,0.41694851361554613,0.19778743615235242,Pulmonary Consolidation
83,0.42560481243282394,0.19176410575645708,Pulmonary Consolidation
84,0.42076676070555513,0.1990160951036583,Pulmonary Consolidation
85,0.4131164314631723,0.2126367323231993,Pulmonary Consolidation
86,0.4263408776783609,0.20542900664255997,Pulmonary Consolidation
87,0.40784532208729435,0.195089192701711,Pulmonary Consolidation
88,0.40645278777110344,0.20391284246903973,Pulmonary Consolidation
89,0.4135505285519426,0.20045847634701364,Pulmonary Consolidation
90,0.4313075705047497,0.19633209599768267,Pulmonary Consolidation
91,0.43443809630302427,0.1975357899749533,Pulmonary Consolidation
92,0.43667339455418736,0.19028420375105032,Pulmonary Consolidation
