img_id,Entropy,Complexity,Fisher,Label
1,0.9865574335004614,0.0175190187283102,0.0217877531407655,Pulmonary Consolidation
2,0.9836962640067232,0.0213507016861173,0.0246908461096721,Pulmonary Consolidation
3,0.9837776856072152,0.0213373232399594,0.0254499257948896,Pulmonary Consolidation
4,0.9852611205380278,0.0194136753352347,0.022145049689911,Pulmonary Consolidation
5,0.98459697789336,0.0201678559747524,0.0252043761774396,Pulmonary Consolidation
6,0.9838057368613042,0.0215350582481154,0.0258377507323224,Pulmonary Consolidation
7,0.981281604521676,0.0246426653270598,0.0267665540756895,Pulmonary Consolidation
8,0.9804959439794956,0.0252831815349956,0.029337901667213,Pulmonary Consolidation
9,0.9783881535889628,0.0276380588807841,0.0324943197140635,Pulmonary Consolidation
10,0.980177326241078,0.0258163946839996,0.0266073504647457,Pulmonary Consolidation
11,0.9728856922068736,0.034544718205928,0.0308921386506105,Pulmonary Consolidation
12,0.9858610771958404,0.0182940910845301,0.0177938192349753,Pulmonary Consolidation
13,0.9851616011791532,0.0192410518807034,0.0180508011759394,Pulmonary Consolidation
14,0.9854003699562608,0.019014929773239,0.0192072633484036,Pulmonary Consolidation
15,0.9832592659578356,0.0212843308557439,0.018861367146501,Pulmonary Consolidation
16,0.9844714302184702,0.0203042804826795,0.0246929521376718,Pulmonary Consolidation
17,0.9875226171153014,0.0164740674099578,0.0177872340270847,Pulmonary Consolidation
18,0.9920358118406428,0.0103190822026612,0.0084726404589267,Pulmonary Consolidation
19,0.9887729020500552,0.0145960623823788,0.0110039014033072,Pulmonary Consolidation
20,0.9842659900570272,0.0201626527099159,0.0176124430732648,Pulmonary Consolidation
21,0.9886825800230546,0.0145231916251001,0.0117107994534948,Pulmonary Consolidation
22,0.985999741021436,0.0179113736753603,0.0200713637674179,Pulmonary Consolidation
23,0.9867827612151404,0.0169921826875605,0.0194417738687607,Pulmonary Consolidation
24,0.980869851690914,0.0245572730035948,0.0299678025568401,Pulmonary Consolidation
25,0.9830654708226412,0.0220580434472484,0.0225882042625458,Pulmonary Consolidation
26,0.9901699125890938,0.0127165550464752,0.0099535303741793,Pulmonary Consolidation
27,0.986272329952672,0.0175271405923474,0.0154260656054358,Pulmonary Consolidation
28,0.9879964558044771,0.0156216409519329,0.0168325090764891,Pulmonary Consolidation
29,0.9822185981234748,0.0228842956131601,0.0240099035174772,Pulmonary Consolidation
30,0.9886862514126186,0.0145518192343846,0.0129861703422499,Pulmonary Consolidation
31,0.9855266304378436,0.0185805579092979,0.0148553294704417,Pulmonary Consolidation
32,0.9837884786600716,0.0207395403961664,0.017245059379307,Pulmonary Consolidation
33,0.9863915923934564,0.0174991896754419,0.0180189202708169,Pulmonary Consolidation
34,0.9870831007984688,0.016917112843763,0.0169289498184178,Pulmonary Consolidation
35,0.9835152632851256,0.0213952132740163,0.0194226503955418,Pulmonary Consolidation
36,0.987130127551204,0.0166945417068742,0.014706783279881,Pulmonary Consolidation
37,0.9898553002700629,0.0130702550199888,0.0168916854155118,Pulmonary Consolidation
38,0.9895008126421164,0.0135360083286017,0.0153179200083185,Pulmonary Consolidation
39,0.987003181749844,0.0166082964649079,0.0151913923857362,Pulmonary Consolidation
40,0.9869633696089342,0.0169900086348828,0.0199351927235938,Pulmonary Consolidation
41,0.9885036255667872,0.0149483871903157,0.0142932025856381,Pulmonary Consolidation
42,0.984928093157442,0.0189953723556886,0.013144764188206,Pulmonary Consolidation
43,0.9843180460088043,0.0201819530121558,0.0162866109581716,Pulmonary Consolidation
44,0.9848510359251724,0.0195010567590067,0.0167565966573496,Pulmonary Consolidation
45,0.9824599213888524,0.0224971430702401,0.0220216982202806,Pulmonary Consolidation
46,0.9844801927030824,0.0200453363699333,0.0168046877138577,Pulmonary Consolidation
47,0.9840355692366752,0.020403245813283,0.0154019050599066,Pulmonary Consolidation
48,0.9858063656319036,0.0182148325553961,0.0132888634962062,Pulmonary Consolidation
49,0.9849173878851786,0.019749294974848,0.0221900043370988,Pulmonary Consolidation
50,0.9806882676032792,0.0252720505619094,0.0278139658484955,Pulmonary Consolidation
