img_id,Entropy,Fisher information,Label
11,0.7524180402802301,0.49921668361031935,Pulmonary Consolidation
12,0.7699886979309297,0.504819680305502,Pulmonary Consolidation
13,0.7445484917473868,0.5572881590939324,Pulmonary Consolidation
14,0.728701961831218,0.5257679469487042,Pulmonary Consolidation
15,0.7588037589442962,0.5305636946945752,Pulmonary Consolidation
16,0.7238595185927799,0.635231445276902,Pulmonary Consolidation
17,0.7966130674490335,0.4160876982794726,Pulmonary Consolidation
18,0.7417469937212028,0.5433217553313324,Pulmonary Consolidation
19,0.7489505431925791,0.542129664003295,Pulmonary Consolidation
20,0.785843223094801,0.4635300129890187,Pulmonary Consolidation
21,0.7959444922858897,0.45849974828867784,Pulmonary Consolidation
22,0.8109994865804893,0.4094002317154578,Pulmonary Consolidation
23,0.8029713360855998,0.4023716542758526,Pulmonary Consolidation
24,0.7883306444823367,0.44883415687249734,Pulmonary Consolidation
25,0.7514434244600068,0.4914025154889907,Pulmonary Consolidation
26,0.7758973079370023,0.4941918007189917,Pulmonary Consolidation
27,0.752500618009693,0.5389696314244237,Pulmonary Consolidation
28,0.7656681746422087,0.5108749942987991,Pulmonary Consolidation
29,0.7559445772505687,0.5264647777533774,Pulmonary Consolidation
30,0.764069021771387,0.46147027594476253,Pulmonary Consolidation
31,0.7385812352972031,0.5170934590440173,Pulmonary Consolidation
32,0.7574740236478914,0.5138961400096967,Pulmonary Consolidation
33,0.7430251628597013,0.5357374114065582,Pulmonary Consolidation
34,0.7642340606293815,0.5181043660700947,Pulmonary Consolidation
35,0.7487156259575278,0.5435741930017398,Pulmonary Consolidation
36,0.7175929387750846,0.562478762542644,Pulmonary Consolidation
37,0.7211527217362245,0.59828669078613,Pulmonary Consolidation
38,0.7417713666248709,0.5684759790031835,Pulmonary Consolidation
39,0.8057804895866962,0.3983564707873739,Pulmonary Consolidation
40,0.7817541295373072,0.4470636858176818,Pulmonary Consolidation
41,0.7874139850302844,0.44058720550562847,Pulmonary Consolidation
42,0.7787531283379717,0.4362351570978628,Pulmonary Consolidation
43,0.7227533017490567,0.5642410994849506,Pulmonary Consolidation
44,0.7301600330337621,0.5746080720185556,Pulmonary Consolidation
45,0.7189180566614725,0.5869147069856938,Pulmonary Consolidation
46,0.756623208773976,0.5238190931794628,Pulmonary Consolidation
47,0.729664856322818,0.5694502651093789,Pulmonary Consolidation
48,0.755056706226578,0.5517178021535025,Pulmonary Consolidation
49,0.7252732057397799,0.5897683616810547,Pulmonary Consolidation
50,0.7240620816297356,0.5151350067368626,Pulmonary Consolidation
