img_id,Entropy,Complexity,Fisher,Smoothness,Curve structure,Up-down balance,Persistence,Distance to White Noise,Label
691,0.9843346196596854,0.0203383105359575,0.0174392578499367,0.0947341899722851,0.1315192743764172,0.0297304106827916,-0.1315822625346436,0.0041859828764890545,Emphysematous Area
692,0.978915384944266,0.0270239504405189,0.0223463604761468,0.1156462585034013,0.1438649533887629,0.0382968002015621,-0.11596119929453269,0.005767907696845057,Emphysematous Area
693,0.9789114853090162,0.0267942688327505,0.0191303852718167,0.0874275636180398,0.1484001007810532,0.033257747543461794,-0.11394557823129259,0.005866428857406551,Emphysematous Area
694,0.9802646688206256,0.0254787787305668,0.0262466778732018,0.1196775006298816,0.1161501637692113,0.034013605442176895,-0.12981859410430852,0.005316817898552543,Emphysematous Area
695,0.9849353439947194,0.019121951570509,0.017700998126594,0.0952380952380952,0.0997732426303854,0.036785084404131994,-0.1325900730662636,0.00421074012688789,Emphysematous Area
696,0.980675090413945,0.0248154053864501,0.0171569133869253,0.0977576215671454,0.1264802217183169,0.0319979843789367,-0.1187326782564879,0.005262732828450466,Emphysematous Area
697,0.981346110084248,0.0236025900875182,0.0208328404278782,0.0922146636432351,0.1244646006550768,0.018896447467876006,-0.1328420256991686,0.005202680626200997,Emphysematous Area
698,0.9869615788285722,0.0168166852410207,0.0138772333612105,0.0793650793650793,0.1126228269085412,0.0037792894935751997,-0.1308264046359286,0.0035172831952037477,Emphysematous Area
699,0.990486539841956,0.0122931641907986,0.0101105493157911,0.0639959687578735,0.1058201058201058,0.025447215923406402,-0.1414084152179392,0.002574857196688289,Emphysematous Area
700,0.9895701624732248,0.0136666175311888,0.0133893283323218,0.0975056689342404,0.0798689846308893,0.008062484252960501,-0.1366213151927439,0.0027388898506128475,Emphysematous Area
701,0.989473684569736,0.0136515340450996,0.0108451886635717,0.0753338372385991,0.0964978584026202,0.015621063240110894,-0.1330939783320737,0.00282293754171041,Emphysematous Area
702,0.9853574340719976,0.0186670472671513,0.0145738361614355,0.0947341899722852,0.1058201058201057,0.01738473167044599,-0.1172209624590578,0.004053055485886115,Emphysematous Area
703,0.9843104574365578,0.0203292118360181,0.0179112230184629,0.0964978584026203,0.1242126480221718,0.0239355001259764,-0.1283068783068784,0.004200202425436084,Emphysematous Area
704,0.9785559722207628,0.0272973759295659,0.0201239997901263,0.1068279163517259,0.1244646006550768,0.016124968505920892,-0.11092214663643252,0.005893217471940661,Emphysematous Area
705,0.9798890626770856,0.0261821463823513,0.0224319939279367,0.1113630637440161,0.1486520534139581,0.0239355001259764,-0.1283068783068784,0.0052877439993662114,Emphysematous Area
706,0.9800574152035711,0.02636268108301,0.0286289962195739,0.1257243638196019,0.1534391534391534,0.013353489543965695,-0.1343537414965987,0.005103651624605688,Emphysematous Area
707,0.9842730497038708,0.0208461031200191,0.0211375708115774,0.1022927689594356,0.1395817586293776,0.017132779037540895,-0.1371252204585539,0.004027028632902731,Emphysematous Area
