0,Smoothness,Curve structure,Label
1,0.10002519526329051,0.12522045855379188,Pulmonary Consolidation
2,0.10481229528848585,0.14008566389518773,Pulmonary Consolidation
3,0.1068279163517259,0.13454270597127743,Pulmonary Consolidation
4,0.108843537414966,0.1375661375661376,Pulmonary Consolidation
5,0.09246661627614011,0.14436885865457294,Pulmonary Consolidation
6,0.10808767951625098,0.14184933232552283,Pulmonary Consolidation
7,0.12018140589569165,0.15142353237591333,Pulmonary Consolidation
8,0.12547241118669689,0.1365583270345175,Pulmonary Consolidation
9,0.12118921642731167,0.1312673217435122,Pulmonary Consolidation
10,0.1146384479717813,0.12925170068027214,Pulmonary Consolidation
11,0.13151927437641725,0.1466364323507181,Pulmonary Consolidation
12,0.09448223733938022,0.09851347946586039,Pulmonary Consolidation
13,0.0957420005039053,0.11892164273116657,Pulmonary Consolidation
14,0.09498614260519023,0.12874779541446213,Pulmonary Consolidation
15,0.07004283194759392,0.12295288485764674,Pulmonary Consolidation
16,0.09674981103552532,0.15268329554043839,Pulmonary Consolidation
17,0.09145880574452009,0.12370874275636179,Pulmonary Consolidation
18,0.060216679264298356,0.10103300579491048,Pulmonary Consolidation
19,0.058453010833963204,0.13000755857898716,Pulmonary Consolidation
20,0.08087679516250951,0.12824389014865206,Pulmonary Consolidation
21,0.05366591080876798,0.10355253212396076,Pulmonary Consolidation
22,0.05870496346686821,0.11363063744016125,Pulmonary Consolidation
23,0.07760141093474426,0.10229276895943562,Pulmonary Consolidation
24,0.09347442680776014,0.13378684807256236,Pulmonary Consolidation
25,0.10808767951625098,0.1186696900982615,Pulmonary Consolidation
26,0.06500377928949358,0.08314436885865456,Pulmonary Consolidation
27,0.08490803728898971,0.08893927941546986,Pulmonary Consolidation
28,0.06701940035273374,0.10380448475686571,Pulmonary Consolidation
29,0.0922146636432351,0.12799193751574706,Pulmonary Consolidation
30,0.07936507936507936,0.09246661627614008,Pulmonary Consolidation
31,0.07810531620055433,0.10783572688334592,Pulmonary Consolidation
32,0.09246661627614011,0.1126228269085412,Pulmonary Consolidation
33,0.06878306878306878,0.09700176366843039,Pulmonary Consolidation
34,0.07634164777021923,0.12421264802217186,Pulmonary Consolidation
35,0.10985134794658608,0.12345679012345684,Pulmonary Consolidation
36,0.07860922146636434,0.12950365331317715,Pulmonary Consolidation
37,0.08238851095993954,0.09347442680776016,Pulmonary Consolidation
38,0.07986898463088943,0.09397833207357015,Pulmonary Consolidation
39,0.07105064247921394,0.09674981103552532,Pulmonary Consolidation
40,0.08188460569412953,0.11967750062988158,Pulmonary Consolidation
41,0.06676744771982873,0.09297052154195012,Pulmonary Consolidation
42,0.0879314688838499,0.09700176366843033,Pulmonary Consolidation
43,0.07558578987150422,0.12446460065507689,Pulmonary Consolidation
44,0.08616780045351474,0.11337868480725621,Pulmonary Consolidation
45,0.08667170571932475,0.1355505165028975,Pulmonary Consolidation
46,0.08994708994708994,0.11161501637692117,Pulmonary Consolidation
47,0.07079868984630888,0.1292517006802721,Pulmonary Consolidation
48,0.07407407407407413,0.1108591584782061,Pulmonary Consolidation
49,0.10204081632653061,0.13076341647770223,Pulmonary Consolidation
50,0.11161501637692117,0.15545477450239356,Pulmonary Consolidation
51,0.08515998992189472,0.13454270597127743,Pulmonary Consolidation
52,0.07306626354245399,0.12748803224993696,Pulmonary Consolidation
53,0.07583774250440917,0.12471655328798184,Pulmonary Consolidation
54,0.09700176366843033,0.13378684807256236,Pulmonary Consolidation
55,0.10380448475686571,0.13353489543965735,Pulmonary Consolidation
56,0.08238851095993954,0.11211892164273118,Pulmonary Consolidation
57,0.28470647518266573,0.2161753590325019,Pulmonary Consolidation
58,0.2791635172587554,0.21365583270345176,Pulmonary Consolidation
59,0.291005291005291,0.20937263794406652,Pulmonary Consolidation
60,0.28949357520786095,0.22348198538674724,Pulmonary Consolidation
61,0.29024943310657597,0.22272612748803225,Pulmonary Consolidation
62,0.2842025699168557,0.236331569664903,Pulmonary Consolidation
63,0.2915091962711011,0.22297808012093728,Pulmonary Consolidation
64,0.2884857646762408,0.2275132275132275,Pulmonary Consolidation
65,0.3053665910808769,0.20861678004535147,Pulmonary Consolidation
66,0.30738221214411693,0.20559334845049132,Pulmonary Consolidation
67,0.2955404383975812,0.2239858906525573,Pulmonary Consolidation
68,0.30007558578987154,0.22297808012093728,Pulmonary Consolidation
69,0.31620055429579236,0.217435122197027,Pulmonary Consolidation
70,0.30763416477702193,0.22096245905769712,Pulmonary Consolidation
71,0.3126732174351223,0.22146636432350722,Pulmonary Consolidation
72,0.30360292265054173,0.19072814310909553,Pulmonary Consolidation
73,0.3093978332073571,0.20609725371630133,Pulmonary Consolidation
74,0.30360292265054173,0.2123960695389267,Pulmonary Consolidation
75,0.28269085411942557,0.21667926429831189,Pulmonary Consolidation
76,0.28974552784076596,0.2096245905769715,Pulmonary Consolidation
77,0.30007558578987154,0.20433358528596623,Pulmonary Consolidation
78,0.2978080120937265,0.21315192743764177,Pulmonary Consolidation
79,0.3088939279415471,0.20760896951373137,Pulmonary Consolidation
80,0.3025951121189216,0.22902494331065756,Pulmonary Consolidation
81,0.3056185437137818,0.19324766943814567,Pulmonary Consolidation
82,0.3096497858402621,0.20382968002015625,Pulmonary Consolidation
83,0.31191735953640726,0.199042579994961,Pulmonary Consolidation
84,0.30083144368858655,0.21164021164021163,Pulmonary Consolidation
85,0.3066263542454019,0.20987654320987656,Pulmonary Consolidation
86,0.31897203325774764,0.21919879062736206,Pulmonary Consolidation
87,0.2955404383975813,0.18468127991937516,Pulmonary Consolidation
88,0.28168304358780544,0.2010582010582011,Pulmonary Consolidation
89,0.2794154698916604,0.2033257747543462,Pulmonary Consolidation
90,0.29276895943562614,0.19400352733686066,Pulmonary Consolidation
91,0.2917611489040061,0.2202066011589821,Pulmonary Consolidation
92,0.2993197278911565,0.20307382212144118,Pulmonary Consolidation
93,0.2831947593852357,0.22675736961451246,Pulmonary Consolidation
94,0.29302091206853115,0.21642731166540694,Pulmonary Consolidation
95,0.3053665910808769,0.19652305366591083,Pulmonary Consolidation
96,0.30032753842277654,0.20760896951373142,Pulmonary Consolidation
97,0.3030990173847316,0.2043335852859663,Pulmonary Consolidation
98,0.3030990173847316,0.20030234315948603,Pulmonary Consolidation
99,0.309649785840262,0.19223985890652556,Pulmonary Consolidation
100,0.29402872260015117,0.21340388007054678,Pulmonary Consolidation
101,0.29705215419501135,0.2063492063492063,Pulmonary Consolidation
102,0.2872260015117158,0.19652305366591083,Pulmonary Consolidation
103,0.28924162257495595,0.20609725371630133,Pulmonary Consolidation
104,0.29654824892920134,0.19576719576719573,Pulmonary Consolidation
105,0.2947845804988662,0.2126480221718317,Pulmonary Consolidation
106,0.3051146384479719,0.2199546485260771,Pulmonary Consolidation
107,0.30083144368858655,0.22474174855127238,Pulmonary Consolidation
108,0.31494079113126733,0.1985386747291509,Pulmonary Consolidation
109,0.3030990173847316,0.22146636432350716,Pulmonary Consolidation
110,0.29327286470143615,0.21264802217183174,Pulmonary Consolidation
